hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 5.25713, 2.23952, 5.25714, 2.23952, 5.25714, 2.23953, 0, 0
2, 0.00000, 3.80956, 1.62294, 3.80955, 1.62296, 3.80952, 1.62291, 0, 0
3, 0.00000, 3.35239, 1.42813, 3.35239, 1.42814, 3.35238, 1.42812, 0, 0
4, 0.00000, 3.12381, 1.33075, 3.12381, 1.33075, 3.12381, 1.33074, 0, 0
5, 0.00000, 4.19044, 1.78506, 4.19045, 1.78505, 4.19047, 1.78509, 0, 0
6, 0.00000, 6.47598, 2.75856, 6.47605, 2.7585, 6.47612, 2.75868, 0, 0
7, 0.00000, 7.61901, 3.24562, 7.61901, 3.24568, 7.61898, 3.24563, 0, 0
8, 0.00000, 6.0952, 2.59667, 6.0952, 2.59677, 6.0951, 2.59664, 0, 0
9, 0.00000, 6.78078, 2.88861, 6.78082, 2.88864, 6.7808, 2.88864, 0, 0
10, 0.00000, 6.93333, 2.95359, 6.93333, 2.95359, 6.93332, 2.95359, 0, 0
11, 0.00000, 7.7714, 3.31066, 7.77143, 3.31065, 7.7714, 3.31064, 0, 0
12, 0.00000, 7.84761, 3.34309, 7.84762, 3.34308, 7.84761, 3.34308, 0, 0
13, 0.00000, 8.45673, 3.6026, 8.45685, 3.60259, 8.45685, 3.60269, 0, 0
14, 0.00000, 7.46655, 3.18067, 7.46662, 3.18073, 7.46653, 3.18074, 0, 0
15, 0.00000, 7.16177, 3.05088, 7.16182, 3.05091, 7.16179, 3.05093, 0, 0
16, 0.00000, 7.16212, 3.05104, 7.16205, 3.05103, 7.16207, 3.05099, 0, 0
17, 0.00000, 7.77144, 3.31059, 7.77143, 3.31059, 7.77145, 3.3106, 0, 0
18, 0.00000, 9.6, 4.08957, 9.6, 4.08957, 9.60002, 4.08959, 0, 0
19, 0.00000, 11.5048, 4.90094, 11.5048, 4.90107, 11.5047, 4.90103, 0, 0
20, 0.00000, 12.1139, 5.16083, 12.1138, 5.16077, 12.114, 5.16063, 0, 0
21, 0.00000, 13.333, 5.67985, 13.333, 5.67978, 13.3331, 5.6799, 0, 0
22, 0.00000, 11.4291, 4.86842, 11.4292, 4.86853, 11.4289, 4.86861, 0, 0
23, 0.00000, 9.82852, 4.18691, 9.82859, 4.1869, 9.82858, 4.18699, 0, 0
24, 0.00000, 6.78119, 2.88928, 6.78111, 2.88941, 6.78093, 2.88908, 0, 0
25, 0.00000, 5.2572, 2.23975, 5.25718, 2.2398, 5.25711, 2.23969, 0, 0
26, 0.00000, 3.80954, 1.62299, 3.80953, 1.62302, 3.80949, 1.62295, 0, 0
27, 0.00000, 3.3524, 1.42813, 3.35236, 1.42813, 3.35238, 1.42807, 0, 0
28, 0.00000, 3.12382, 1.33077, 3.12381, 1.33078, 3.12381, 1.33076, 0, 0
29, 0.00000, 4.1904, 1.78493, 4.19045, 1.78489, 4.19048, 1.78501, 0, 0
30, 0.00000, 6.47617, 2.7588, 6.4762, 2.75882, 6.47618, 2.75885, 0, 0
31, 0.00000, 7.61973, 3.24607, 7.61955, 3.24653, 7.61906, 3.24586, 0, 0
32, 0.00000, 6.09524, 2.5967, 6.09526, 2.5968, 6.09513, 2.59668, 0, 0
33, 0.00000, 6.78081, 2.88861, 6.78086, 2.88864, 6.78083, 2.88865, 0, 0
34, 0.00000, 6.93333, 2.95359, 6.93333, 2.9536, 6.93332, 2.95359, 0, 0
35, 0.00000, 7.77141, 3.31066, 7.77143, 3.31065, 7.7714, 3.31064, 0, 0
36, 0.00000, 7.84761, 3.34309, 7.84762, 3.34308, 7.84761, 3.34308, 0, 0
37, 0.00000, 8.45675, 3.6026, 8.45688, 3.60258, 8.45687, 3.60269, 0, 0
38, 0.00000, 7.46655, 3.18069, 7.46663, 3.18075, 7.46653, 3.18076, 0, 0
39, 0.00000, 7.16178, 3.05089, 7.16183, 3.05091, 7.16179, 3.05094, 0, 0
40, 0.00000, 7.16211, 3.05104, 7.16203, 3.05103, 7.16206, 3.05098, 0, 0
41, 0.00000, 7.77144, 3.31059, 7.77143, 3.31059, 7.77145, 3.3106, 0, 0
42, 0.00000, 9.59999, 4.08957, 9.6, 4.08956, 9.60002, 4.08959, 0, 0
43, 0.00000, 11.5042, 4.90301, 11.5031, 4.90287, 11.5043, 4.90121, 0, 0
44, 0.00000, 12.1139, 5.16082, 12.1138, 5.16077, 12.114, 5.16064, 0, 0
45, 0.00000, 13.333, 5.67985, 13.333, 5.67978, 13.3331, 5.6799, 0, 0
46, 0.00000, 11.4291, 4.86842, 11.4292, 4.86853, 11.4289, 4.86861, 0, 0
47, 0.00000, 9.82852, 4.18691, 9.82859, 4.1869, 9.82858, 4.18699, 0, 0
48, 0.00000, 6.78119, 2.88928, 6.78111, 2.88941, 6.78093, 2.88908, 0, 0
