hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 218.146, -0.342127, 218.042, -120.306, 218.328, 119.665, 0, 0, 26.1948, -23.416, 26.2072, -143.38, 26.173, 96.5907, 0.0425753, 89.0602
2, 0.00000, 218.489, -0.249651, 218.413, -120.223, 218.62, 119.755, 0, 0, 18.9523, -23.3245, 18.9588, -143.299, 18.9407, 96.6805, 0.0225311, 88.8382
3, 0.00000, 218.597, -0.220492, 218.529, -120.197, 218.712, 119.784, 0, 0, 16.6696, -23.2947, 16.6747, -143.272, 16.6607, 96.7096, 0.0174086, 88.9511
4, 0.00000, 218.651, -0.205925, 218.587, -120.184, 218.758, 119.798, 0, 0, 15.5291, -23.28, 15.5336, -143.258, 15.5215, 96.724, 0.0151177, 88.9681
5, 0.00000, 218.399, -0.273942, 218.315, -120.245, 218.543, 119.731, 0, 0, 20.8555, -23.3472, 20.8634, -143.318, 20.8419, 96.658, 0.026979, 89.1968
6, 0.00000, 217.855, -0.420199, 217.73, -120.376, 218.081, 119.588, 0, 0, 32.3106, -23.4927, 32.3294, -143.448, 32.278, 96.5153, 0.0643007, 89.1635
7, 0.00000, 217.81, -0.340246, 217.714, -120.296, 218.019, 119.661, 0, 0, 38.0218, -23.4138, 38.0385, -143.37, 37.9851, 96.5875, 0.0700825, 95.8703
8, 0.00000, 218.394, -0.0895612, 218.379, -120.064, 218.495, 119.902, 0, 0, 30.3363, -23.1645, 30.3385, -143.139, 30.3218, 96.8266, 0.0288208, 116.014
9, 0.00000, 218.423, 0.00185763, 218.444, -119.975, 218.502, 119.987, 0, 0, 33.7438, -23.0721, 33.7408, -143.049, 33.7316, 96.9126, 0.0290405, 136.148
10, 0.00000, 218.77, 0.272069, 218.892, -119.72, 218.766, 120.243, 0, 0, 34.4482, -22.8019, 34.4291, -142.794, 34.4488, 97.1692, 0.0368672, -163.727
11, 0.00000, 219.106, 0.629769, 219.374, -119.382, 219.014, 120.583, 0, 0, 38.553, -22.4445, 38.5059, -142.456, 38.5692, 97.5087, 0.0826844, -138.289
12, 0.00000, 219.23, 0.739519, 219.545, -119.279, 219.111, 120.688, 0, 0, 38.909, -22.3345, 38.8533, -142.353, 38.9302, 97.6137, 0.0976974, -134.434
13, 0.00000, 219.185, 0.778777, 219.519, -119.241, 219.065, 120.724, 0, 0, 41.9378, -22.2954, 41.8743, -142.315, 41.9614, 97.6498, 0.110932, -134.844
14, 0.00000, 219.411, 0.840742, 219.767, -119.186, 219.261, 120.786, 0, 0, 36.989, -22.2328, 36.9295, -142.26, 37.0143, 97.7115, 0.105548, -130.537
15, 0.00000, 219.501, 0.877113, 219.871, -119.153, 219.338, 120.821, 0, 0, 35.4647, -22.1967, 35.4052, -142.227, 35.4912, 97.747, 0.105753, -128.917
16, 0.00000, 219.454, 0.83818, 219.807, -119.19, 219.3, 120.784, 0, 0, 35.474, -22.2357, 35.4166, -142.264, 35.4985, 97.7101, 0.101107, -129.863
17, 0.00000, 218.982, 0.530821, 219.209, -119.474, 218.916, 120.488, 0, 0, 38.5749, -22.5429, 38.5349, -142.548, 38.5866, 97.4145, 0.0707906, -143.165
18, 0.00000, 217.981, -0.0173619, 218.006, -119.984, 218.104, 119.963, 0, 0, 47.87, -23.0912, 47.8647, -143.057, 47.8431, 96.8886, 0.0602607, 133.093
19, 0.00000, 217.759, 0.0279698, 217.809, -119.935, 217.895, 120.002, 0, 0, 57.4267, -23.0456, 57.4138, -143.009, 57.3907, 96.9275, 0.0834753, 139.617
20, 0.00000, 217.509, -0.0878963, 217.519, -120.042, 217.691, 119.89, 0, 0, 60.5372, -23.1632, 60.5339, -143.117, 60.4869, 96.8161, 0.102795, 125.219
