hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 218.137, -0.347849, 218.032, -120.312, 218.321, 119.659, 0.458426, 179.652, 0.458647, 59.6884, 0.45804, -60.3408
2, 0.00000, 218.48, -0.255354, 218.402, -120.229, 218.614, 119.75, 0.457715, 179.744, 0.457878, 59.7699, 0.45743, -60.251
3, 0.00000, 218.588, -0.226189, 218.519, -120.203, 218.706, 119.778, 0.457483, 179.774, 0.457628, 59.7969, 0.457236, -60.2219
4, 0.00000, 218.642, -0.21162, 218.577, -120.19, 218.752, 119.793, 0.457369, 179.788, 0.457505, 59.8101, 0.457139, -60.2075
5, 0.00000, 218.39, -0.27965, 218.305, -120.251, 218.537, 119.726, 0.457889, 179.721, 0.458069, 59.7504, 0.457586, -60.2735
6, 0.00000, 217.847, -0.425937, 217.719, -120.382, 218.074, 119.583, 0.459018, 179.576, 0.45929, 59.6203, 0.458551, -60.4162
7, 0.00000, 217.968, -0.23056, 217.909, -120.192, 218.139, 119.765, 8.77125, -0.230274, 8.77365, -120.192, 8.76439, 119.765
8, 0.00000, 218.715, 0.134503, 218.778, -119.852, 218.74, 120.113, 17.9658, 0.133705, 17.9609, -119.853, 17.9637, 120.112
9, 0.00000, 218.888, 0.327193, 219.022, -119.668, 218.858, 120.295, 26.0843, 0.326907, 26.0686, -119.668, 26.0883, 120.294
10, 0.00000, 219.526, 0.805773, 219.84, -119.217, 219.349, 120.75, 42.8466, 0.805589, 42.7855, -119.217, 42.8811, 120.749
11, 0.00000, 220.279, 1.46814, 220.859, -118.597, 219.93, 121.381, 67.3798, 1.46738, 67.2028, -118.597, 67.4866, 121.38
12, 0.00000, 220.516, 1.6623, 221.178, -118.416, 220.119, 121.567, 74.1985, 1.66203, 73.9763, -118.416, 74.3323, 121.566
13, 0.00000, 220.548, 1.75966, 221.254, -118.324, 220.136, 121.659, 78.8448, 1.75884, 78.5949, -118.324, 78.9949, 121.658
14, 0.00000, 220.771, 1.81957, 221.5, -118.272, 220.331, 121.719, 78.7677, 1.8207, 78.5101, -118.271, 78.926, 121.719
15, 0.00000, 220.878, 1.86802, 221.627, -118.228, 220.422, 121.766, 79.7742, 1.86834, 79.5058, -118.228, 79.9403, 121.766
