hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 5.3742, 2.28437, 5.37819, 2.28209, 5.37002, 2.28185
2, 0.00000, 3.91872, 1.64663, 3.92084, 1.64539, 3.91641, 1.64527
3, 0.00000, 3.45945, 1.44658, 3.46112, 1.44562, 3.45772, 1.44555
4, 0.00000, 3.22995, 1.34681, 3.2314, 1.34598, 3.22845, 1.34593
5, 0.00000, 4.30125, 1.81373, 4.30382, 1.81227, 4.29867, 1.81217
6, 0.00000, 6.60155, 2.82644, 6.6076, 2.82303, 6.59544, 2.82269
7, 0.00000, 5.73044, 3.3069, 5.73583, 3.30378, 5.72464, 3.30336
8, 0.00000, 2.17749, 2.62716, 2.18022, 2.62552, 2.17452, 2.62534
9, 0.00000, 1.08824, 2.93374, 1.0923, 2.93125, 1.08416, 2.93124
10, 0.00000, -2.43226, 3.06104, -2.42236, 3.05444, -2.44131, 3.05548
11, 0.00000, -6.96029, 3.60764, -6.93205, 3.58767, -6.98363, 3.59346
12, 0.00000, -8.37585, 3.71589, -8.34011, 3.69018, -8.40459, 3.69846
13, 0.00000, -8.77713, 4.02125, -8.73707, 3.99221, -8.80942, 4.00177
14, 0.00000, -9.7607, 3.61937, -9.71856, 3.58867, -9.79419, 3.59906
15, 0.00000, -10.2887, 3.50981, -10.2443, 3.47762, -10.3236, 3.48892
16, 0.00000, -9.78238, 3.479, -9.74084, 3.44895, -9.81476, 3.45954
17, 0.00000, -5.66998, 3.5497, -5.64748, 3.53387, -5.68912, 3.53797
18, 0.00000, 1.81382, 4.1778, 1.82162, 4.17274, 1.80596, 4.1728
19, 0.00000, 1.54443, 5.03751, 1.55635, 5.0295, 1.53252, 5.02972
20, 0.00000, 3.16359, 5.29168, 3.17521, 5.28416, 3.15223, 5.28392
21, 0.00000, 3.99158, 5.83416, 4.005, 5.82541, 3.97775, 5.82507
22, 0.00000, 1.48039, 5.00432, 1.49208, 4.99636, 1.46785, 4.9966
23, 0.00000, 9.98811, 4.34308, 10.0017, 4.33541, 9.97323, 4.3338
24, 0.00000, 6.91042, 2.96333, 6.91691, 2.95949, 6.90264, 2.95874
25, 0.00000, 5.37465, 2.2844, 5.37864, 2.28208, 5.37015, 2.28176
26, 0.00000, 3.91887, 1.64651, 3.92104, 1.64525, 3.91644, 1.64513
27, 0.00000, 13.4854, 1.77269, 13.5138, 1.7579, 13.4496, 1.75088
28, 0.00000, 13.2534, 1.6666, 13.2815, 1.65224, 13.2188, 1.64544
29, 0.00000, 14.3349, 2.16283, 14.3668, 2.14674, 14.2969, 2.13895
30, 0.00000, 16.6616, 3.23986, 16.7014, 3.21952, 16.6118, 3.20857
31, 0.00000, 5.73169, 3.30758, 5.737, 3.30446, 5.72482, 3.30347
32, 0.00000, 2.17759, 2.62721, 2.18034, 2.62558, 2.17457, 2.62536
33, 0.00000, 1.08826, 2.93377, 1.09232, 2.93129, 1.08417, 2.93126
34, 0.00000, -2.43227, 3.06104, -2.42236, 3.05444, -2.44131, 3.05549
35, 0.00000, -6.9603, 3.60764, -6.93205, 3.58768, -6.98363, 3.59347
36, 0.00000, -8.37585, 3.71589, -8.34011, 3.69018, -8.40459, 3.69846
37, 0.00000, -8.77713, 4.02127, -8.73709, 3.99225, -8.80944, 4.00179
38, 0.00000, -9.76068, 3.61935, -9.71855, 3.58868, -9.7942, 3.59905
39, 0.00000, -10.2887, 3.5098, -10.2443, 3.47763, -10.3236, 3.48891
40, 0.00000, -9.78238, 3.479, -9.74084, 3.44892, -9.81475, 3.45953
41, 0.00000, -5.66998, 3.5497, -5.64748, 3.53386, -5.68911, 3.53797
42, 0.00000, 1.81381, 4.17779, 1.82162, 4.17274, 1.80597, 4.1728
43, 0.00000, 1.54306, 5.03842, 1.5568, 5.02956, 1.53353, 5.02947
44, 0.00000, 3.1636, 5.29168, 3.17521, 5.28416, 3.15223, 5.28392
45, 0.00000, 3.99158, 5.83416, 4.005, 5.82541, 3.97775, 5.82507
46, 0.00000, 1.48039, 5.00432, 1.49208, 4.99636, 1.46785, 4.9966
47, 0.00000, 9.98811, 4.34308, 10.0017, 4.33541, 9.97323, 4.3338
48, 0.00000, 6.91042, 2.96333, 6.91691, 2.95949, 6.90264, 2.95874
