hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 219.392, -0.000400447, 219.392, -120, 219.392, 120, 26.617, -23.0289, 26.6296, -142.993, 26.5949, 96.9778
2, 0.00000, 219.392, -0.000292388, 219.392, -120, 219.392, 120, 19.3745, -22.7922, 19.3812, -142.766, 19.3624, 97.2126
3, 0.00000, 219.392, -0.000258266, 219.392, -120, 219.392, 120, 17.0914, -22.6926, 17.0967, -142.669, 17.0823, 97.3117
4, 0.00000, 219.392, -0.000241211, 219.392, -120, 219.392, 120, 15.9509, -22.6352, 15.9555, -142.613, 15.943, 97.3687
5, 0.00000, 219.392, -0.000320799, 219.392, -120, 219.392, 120, 21.277, -22.8643, 21.2852, -142.835, 21.2634, 97.1411
6, 0.00000, 219.392, -0.000491479, 219.392, -120, 219.392, 120, 32.7322, -23.1786, 32.7514, -143.135, 32.6999, 96.8297
7, 0.00000, 219.392, -0.000408833, 219.392, -120, 219.392, 120, 30.1568, -29.9886, 30.171, -149.942, 30.1259, 90.0128
8, 0.00000, 219.392, -0.000126768, 219.392, -120, 219.392, 120, 15.5532, -50.3469, 15.5554, -170.294, 15.5382, 69.6342
9, 0.00000, 219.392, -2.95554E-005, 219.392, -120, 219.392, 120, 14.2625, -69.6483, 14.2583, 170.437, 14.2453, 50.2976
10, 0.00000, 219.392, 0.000266643, 219.392, -120, 219.392, 120, 17.8206, -128.47, 17.769, 111.584, 17.8265, -8.62438
11, 0.00000, 219.393, 0.000655615, 219.393, -119.999, 219.393, 120.001, 35.7336, -152.601, 35.5775, 87.3644, 35.7985, -32.771
12, 0.00000, 219.393, 0.000775916, 219.393, -119.999, 219.393, 120.001, 41.7658, -156.075, 41.5694, 83.8683, 41.8536, -36.2472
13, 0.00000, 219.393, 0.00081575, 219.393, -119.999, 219.393, 120.001, 44.0054, -155.384, 43.7843, 84.5578, 44.1024, -35.5688
14, 0.00000, 219.393, 0.000889385, 219.393, -119.999, 219.393, 120.001, 47.4498, -159.654, 47.2211, 80.268, 47.561, -39.8223
15, 0.00000, 219.393, 0.000931127, 219.393, -119.999, 219.393, 120.001, 49.5498, -161.163, 49.3111, 78.7516, 49.6697, -41.326
16, 0.00000, 219.393, 0.000888264, 219.393, -119.999, 219.393, 120.001, 47.3243, -160.422, 47.1, 79.4984, 47.4338, -40.5824
17, 0.00000, 219.392, 0.000546812, 219.392, -119.999, 219.392, 120.001, 30.4909, -147.951, 30.3657, 92.0366, 30.5366, -28.1226
18, 0.00000, 219.392, -6.41131E-005, 219.392, -120, 219.392, 120, 20.7599, -66.5317, 20.753, 173.584, 20.7248, 53.4026
19, 0.00000, 219.391, -2.37234E-005, 219.391, -120, 219.391, 120, 24.0162, -72.9552, 23.9973, 167.194, 23.9663, 46.9456
20, 0.00000, 219.391, -0.000153431, 219.391, -120, 219.391, 120, 28.1016, -59.1274, 28.0994, -178.999, 28.0447, 60.8189
21, 0.00000, 219.391, -0.000211155, 219.391, -120, 219.391, 120, 32.2208, -55.6213, 32.2225, -175.492, 32.1511, 64.3277
22, 0.00000, 219.391, -1.90735E-005, 219.391, -120, 219.391, 120, 23.7871, -73.5206, 23.7676, 166.627, 23.7372, 46.3712
23, 0.00000, 219.391, -0.000742219, 219.391, -120.001, 219.391, 119.999, 49.6442, -23.5014, 49.687, -143.436, 49.5652, 96.5122
24, 0.00000, 219.392, -0.000514376, 219.392, -120.001, 219.392, 119.999, 34.272, -23.2111, 34.2923, -143.165, 34.2312, 96.7976
25, 0.00000, 219.392, -0.000400483, 219.392, -120, 219.392, 120, 26.6189, -23.0275, 26.6315, -142.991, 26.5954, 96.9791
26, 0.00000, 219.392, -0.000292403, 219.392, -120, 219.392, 120, 19.3749, -22.79, 19.3818, -142.763, 19.3623, 97.2146
27, 0.00000, 219.391, -0.00108737, 219.391, -120.001, 219.391, 119.999, 61.9961, -7.48982, 62.1158, -127.413, 61.8213, 112.582
28, 0.00000, 219.392, -0.00107024, 219.392, -120.001, 219.392, 119.999, 60.8856, -7.16833, 61.0046, -127.092, 60.7169, 112.903
29, 0.00000, 219.391, -0.00115007, 219.391, -120.001, 219.391, 119.999, 66.0791, -8.58111, 66.2118, -128.5, 65.8914, 111.49
30, 0.00000, 219.391, -0.0013216, 219.391, -120.001, 219.391, 119.999, 77.3675, -11.0052, 77.528, -130.912, 77.1175, 109.067
31, 0.00000, 219.392, -0.000408922, 219.392, -120, 219.392, 120, 30.1633, -29.9883, 30.1772, -149.942, 30.1268, 90.0127
32, 0.00000, 219.392, -0.000126775, 219.392, -120, 219.392, 120, 15.5537, -50.3461, 15.5559, -170.293, 15.5384, 69.6346
33, 0.00000, 219.392, -2.9557E-005, 219.392, -120, 219.392, 120, 14.2626, -69.648, 14.2585, 170.437, 14.2454, 50.2976
34, 0.00000, 219.392, 0.000266643, 219.392, -120, 219.392, 120, 17.8207, -128.47, 17.769, 111.584, 17.8266, -8.62438
35, 0.00000, 219.393, 0.000655616, 219.393, -119.999, 219.393, 120.001, 35.7337, -152.601, 35.5775, 87.3645, 35.7985, -32.771
36, 0.00000, 219.393, 0.000775916, 219.393, -119.999, 219.393, 120.001, 41.7658, -156.075, 41.5694, 83.8683, 41.8536, -36.2472
37, 0.00000, 219.393, 0.000815751, 219.393, -119.999, 219.393, 120.001, 44.0054, -155.384, 43.7844, 84.558, 44.1026, -35.5687
38, 0.00000, 219.393, 0.000889383, 219.393, -119.999, 219.393, 120.001, 47.4497, -159.654, 47.2211, 80.2681, 47.561, -39.8224
39, 0.00000, 219.393, 0.000931127, 219.393, -119.999, 219.393, 120.001, 49.5497, -161.163, 49.3111, 78.7517, 49.6697, -41.3261
40, 0.00000, 219.393, 0.000888265, 219.393, -119.999, 219.393, 120.001, 47.3243, -160.422, 47.1, 79.4983, 47.4337, -40.5824
41, 0.00000, 219.392, 0.000546811, 219.392, -119.999, 219.392, 120.001, 30.4909, -147.951, 30.3657, 92.0365, 30.5366, -28.1226
42, 0.00000, 219.392, -6.4113E-005, 219.392, -120, 219.392, 120, 20.7599, -66.5317, 20.753, 173.584, 20.7248, 53.4026
43, 0.00000, 219.391, -2.35998E-005, 219.391, -120, 219.391, 120, 24.0183, -72.9724, 23.9982, 167.199, 23.9666, 46.9569
44, 0.00000, 219.391, -0.000153432, 219.391, -120, 219.391, 120, 28.1016, -59.1273, 28.0994, -178.999, 28.0447, 60.8188
45, 0.00000, 219.391, -0.000211155, 219.391, -120, 219.391, 120, 32.2208, -55.6213, 32.2225, -175.492, 32.1511, 64.3277
46, 0.00000, 219.391, -1.90735E-005, 219.391, -120, 219.391, 120, 23.7871, -73.5206, 23.7676, 166.627, 23.7372, 46.3712
47, 0.00000, 219.391, -0.000742219, 219.391, -120.001, 219.391, 119.999, 49.6442, -23.5014, 49.687, -143.436, 49.5652, 96.5122
48, 0.00000, 219.392, -0.000514376, 219.392, -120.001, 219.392, 119.999, 34.272, -23.2111, 34.2923, -143.165, 34.2312, 96.7976
